Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Price_USD,Sales_Volume
7 series,2010,south america,red,electric,automatic,4.2,109561.0,2009
m3,2014,africa,grey,electric,automatic,4.5,108677.0,8678
5 series,2018,europe,red,petrol,manual,4.4,90591.0,7618
3 series,2021,south america,white,diesel,automatic,3.0,117490.0,2299
x1,2019,europe,white,hybrid,automatic,4.1,76899.0,9933
x1,2023,south america,red,electric,automatic,2.5,51804.0,4142
m5,2011,asia,white,electric,automatic,1.7,55586.0,5213
m5,2010,south america,blue,electric,automatic,3.9,88012.0,8551
7 series,2023,africa,silver,electric,manual,3.8,79905.0,9006
m5,2019,europe,red,petrol,automatic,4.3,59395.0,6480
7 series,2022,africa,silver,diesel,automatic,3.7,97468.0,6078
i8,2020,middle east,silver,hybrid,automatic,2.0,108861.0,6462
3 series,2018,middle east,white,diesel,automatic,4.5,73392.0,7889
m3,2019,europe,silver,petrol,manual,3.7,42239.0,7679
m3,2018,north america,grey,diesel,automatic,4.3,36293.0,618
i3,2024,north america,blue,electric,manual,4.2,93988.0,2084
m5,2018,africa,white,diesel,manual,2.5,41837.0,4802
m5,2015,asia,red,hybrid,automatic,1.8,116729.0,4766
x6,2024,europe,grey,diesel,manual,2.1,108867.0,6839
i8,2017,middle east,white,petrol,automatic,1.8,74005.0,8478
m3,2023,asia,black,electric,automatic,2.4,109772.0,1993
x1,2020,middle east,blue,diesel,manual,3.1,64022.0,9842
5 series,2024,asia,grey,electric,automatic,4.7,114997.0,7692
m3,2022,asia,red,hybrid,manual,4.6,88747.0,775
m5,2010,europe,blue,electric,automatic,4.0,70378.0,1317
5 series,2019,north america,blue,electric,automatic,1.6,52284.0,8737
i3,2013,asia,blue,diesel,manual,2.7,117713.0,817
x3,2010,south america,black,hybrid,automatic,3.9,45145.0,978
x3,2017,africa,grey,petrol,automatic,2.0,86709.0,4401
5 series,2010,europe,white,hybrid,automatic,4.3,67878.0,8415
x6,2012,africa,black,hybrid,manual,4.7,58615.0,5429
m3,2022,north america,silver,electric,manual,2.7,105252.0,6981
i8,2013,africa,silver,hybrid,automatic,4.0,38913.0,4064
7 series,2024,africa,blue,petrol,automatic,2.0,93584.0,5289
m5,2024,europe,black,diesel,automatic,3.9,59653.0,2064
x6,2024,north america,blue,hybrid,manual,1.6,91957.0,6582
m5,2017,asia,grey,electric,automatic,2.0,63641.0,3597
3 series,2015,north america,white,diesel,manual,4.0,88214.0,7441
x5,2023,middle east,red,diesel,automatic,4.0,60096.0,7480
m3,2019,africa,silver,electric,automatic,3.7,100854.0,1320
m5,2021,north america,black,petrol,automatic,3.2,64803.0,6044
i3,2016,europe,black,petrol,manual,3.9,74801.0,9549
x6,2023,europe,black,electric,automatic,4.2,61017.0,8566
i3,2017,asia,silver,diesel,automatic,4.9,90174.0,6181
5 series,2011,north america,white,diesel,automatic,4.6,72728.0,9742
7 series,2022,south america,silver,petrol,automatic,4.3,101143.0,257
x5,2019,europe,silver,petrol,manual,3.9,38350.0,2140
x5,2023,asia,red,electric,manual,3.5,31097.0,4379
5 series,2020,africa,red,hybrid,manual,1.9,101483.0,8549
3 series,2017,south america,blue,petrol,manual,2.1,55835.0,3272
x1,2012,asia,red,hybrid,automatic,4.4,48370.0,6533
3 series,2016,south america,white,electric,manual,4.3,100336.0,7812
x3,2012,north america,silver,hybrid,automatic,3.7,88407.0,2879
m5,2024,asia,silver,electric,automatic,3.0,76673.0,9265
x6,2016,south america,white,diesel,automatic,1.6,116123.0,8858
3 series,2023,south america,red,hybrid,manual,2.6,45031.0,3380
i3,2020,asia,red,petrol,manual,3.0,53784.0,6190
m5,2024,asia,silver,petrol,manual,3.2,43118.0,3087
x3,2021,south america,blue,electric,automatic,4.8,41973.0,222
m5,2022,africa,silver,diesel,automatic,1.9,33902.0,6211
3 series,2011,middle east,blue,diesel,automatic,3.3,103575.0,7030
x1,2019,north america,blue,electric,manual,2.8,106216.0,9574
m3,2015,europe,grey,electric,automatic,5.0,61639.0,1877
x1,2012,europe,silver,diesel,automatic,4.5,49399.0,3158
5 series,2012,asia,grey,hybrid,manual,3.0,53000.0,8802
x1,2024,south america,black,hybrid,automatic,5.0,75014.0,6320
7 series,2018,europe,black,petrol,automatic,3.3,85128.0,8744
m3,2016,europe,blue,hybrid,manual,2.1,66017.0,1583
x3,2014,south america,blue,electric,manual,3.4,109925.0,762
x5,2021,south america,blue,diesel,manual,2.3,30422.0,3831
x5,2019,south america,grey,electric,manual,3.7,79992.0,1777
x5,2016,asia,silver,petrol,automatic,4.8,60342.0,897
7 series,2018,africa,blue,petrol,automatic,4.3,38309.0,6817
m3,2010,asia,blue,hybrid,automatic,2.5,114959.0,4602
i8,2016,asia,silver,diesel,manual,2.5,71493.0,883
m3,2015,south america,silver,petrol,automatic,1.7,76791.0,7901
7 series,2019,north america,red,hybrid,automatic,2.5,61608.0,3232
i3,2023,europe,white,hybrid,automatic,1.8,61119.0,676
m5,2021,south america,red,hybrid,manual,3.2,36549.0,4354
5 series,2018,north america,black,hybrid,manual,4.0,100126.0,2600
7 series,2010,asia,red,diesel,automatic,4.1,62858.0,5134
i3,2022,asia,grey,hybrid,automatic,1.7,110653.0,9176
i3,2013,africa,white,hybrid,manual,2.7,100704.0,1966
x1,2018,middle east,black,hybrid,automatic,2.5,103111.0,2847
m5,2013,asia,white,petrol,automatic,1.9,98675.0,7185
x5,2019,south america,black,hybrid,manual,2.8,119876.0,3954
3 series,2012,middle east,red,hybrid,manual,2.5,88105.0,2456
i8,2018,asia,red,hybrid,automatic,3.7,86063.0,1167
3 series,2022,europe,grey,diesel,automatic,4.6,97710.0,3387
x3,2011,africa,silver,hybrid,automatic,3.1,32066.0,1762
7 series,2024,south america,grey,petrol,manual,4.1,41921.0,9249
3 series,2013,asia,blue,diesel,manual,2.0,65826.0,7698
i8,2024,north america,white,diesel,automatic,4.6,119962.0,4352
x3,2015,middle east,blue,hybrid,automatic,2.0,111285.0,1698
x1,2011,north america,grey,electric,automatic,2.2,49657.0,8916
x6,2024,middle east,grey,hybrid,manual,1.9,65399.0,7187
3 series,2017,asia,blue,diesel,automatic,2.6,43251.0,1768
i8,2017,africa,black,hybrid,automatic,3.4,71824.0,2809
x3,2010,middle east,red,hybrid,manual,5.0,41024.0,4317
i3,2021,north america,blue,electric,automatic,4.3,93796.0,9572
i8,2012,middle east,silver,electric,manual,2.8,68228.0,7497
m5,2019,europe,white,electric,automatic,3.5,111010.0,4931
x5,2018,north america,grey,hybrid,manual,3.7,40927.0,1508
i8,2014,north america,black,hybrid,automatic,4.4,71851.0,7517
3 series,2015,asia,white,petrol,automatic,4.1,84777.0,8625
m5,2013,middle east,red,hybrid,automatic,3.5,56840.0,9352
x6,2019,africa,grey,petrol,manual,3.8,51376.0,7301
x5,2011,asia,blue,hybrid,manual,4.1,119451.0,3086
x5,2020,middle east,white,electric,automatic,2.0,115270.0,7583
3 series,2017,europe,white,electric,automatic,2.2,100786.0,9880
m5,2020,middle east,grey,electric,manual,3.9,101761.0,1760
x5,2022,south america,white,electric,automatic,4.5,68667.0,9360
i8,2015,south america,blue,diesel,automatic,2.9,40108.0,1464
i3,2014,middle east,red,hybrid,manual,4.9,75381.0,8317
m3,2018,south america,blue,electric,manual,2.3,52930.0,7242
i3,2010,middle east,blue,petrol,automatic,3.0,58677.0,2719
m5,2014,south america,red,hybrid,manual,2.8,46154.0,8681
x5,2015,africa,grey,diesel,manual,4.8,49900.0,7360
x5,2014,africa,grey,hybrid,automatic,2.5,37997.0,1991
5 series,2015,north america,grey,hybrid,manual,3.1,103429.0,3446
7 series,2015,middle east,white,electric,automatic,2.2,58217.0,5391
i8,2016,africa,black,hybrid,automatic,3.3,61252.0,1606
3 series,2013,north america,red,electric,automatic,4.5,61624.0,2378
x3,2023,north america,black,hybrid,automatic,2.6,56937.0,3029
m5,2020,north america,blue,diesel,manual,4.3,98779.0,7794
x1,2023,africa,blue,electric,manual,4.7,76798.0,6747
7 series,2023,europe,grey,diesel,manual,1.8,44620.0,8760
x1,2023,north america,blue,diesel,automatic,4.1,32784.0,8250
m5,2024,asia,blue,petrol,automatic,2.4,88696.0,1424
7 series,2017,europe,silver,hybrid,manual,2.1,50045.0,7841
x5,2016,south america,silver,petrol,manual,3.6,77612.0,5598
7 series,2018,north america,blue,electric,automatic,4.0,74165.0,7716
m3,2016,europe,blue,diesel,automatic,2.9,58994.0,4411
5 series,2012,south america,black,hybrid,manual,1.6,69846.0,5620
3 series,2012,north america,silver,petrol,manual,4.7,53174.0,2708
x3,2024,africa,red,diesel,manual,4.1,76382.0,5799
x1,2017,europe,blue,electric,automatic,2.5,33594.0,6145
7 series,2014,africa,white,electric,automatic,3.2,110530.0,5773
5 series,2013,europe,grey,electric,automatic,1.6,31148.0,6739
7 series,2017,south america,white,electric,automatic,2.7,88737.0,3193
7 series,2024,middle east,silver,diesel,manual,3.3,65636.0,2166
3 series,2015,south america,blue,electric,automatic,3.3,116989.0,6757
m3,2011,africa,black,diesel,automatic,2.2,69748.0,9632
m3,2013,europe,silver,diesel,manual,4.2,90435.0,6424
5 series,2021,north america,blue,petrol,automatic,2.5,31465.0,8580
x6,2020,middle east,blue,petrol,automatic,3.5,76088.0,6997
3 series,2013,africa,blue,hybrid,automatic,2.5,100782.0,6833
x1,2024,north america,grey,petrol,manual,3.0,82874.0,1404
x1,2015,north america,red,electric,manual,2.2,86268.0,3443
i8,2015,middle east,blue,diesel,automatic,3.7,30889.0,9853
3 series,2010,middle east,white,electric,automatic,3.0,95066.0,4167
x1,2023,middle east,silver,electric,manual,1.6,93400.0,1567
5 series,2017,europe,blue,electric,manual,1.6,46963.0,8561
x6,2015,europe,red,hybrid,manual,3.1,62931.0,6319
m5,2012,europe,blue,diesel,manual,2.1,92185.0,7308
x5,2023,south america,white,petrol,automatic,3.5,52382.0,5464
m3,2018,middle east,silver,diesel,automatic,2.9,36743.0,6037
7 series,2011,middle east,silver,hybrid,manual,3.8,35878.0,2145
x5,2024,africa,black,hybrid,manual,4.8,48752.0,521
x6,2020,middle east,silver,petrol,automatic,3.4,56962.0,5175
x3,2017,north america,black,electric,automatic,4.3,88233.0,5313
x5,2019,middle east,red,electric,automatic,4.1,62469.0,9345
i3,2012,asia,red,petrol,automatic,4.7,108735.0,6096
m5,2022,asia,blue,petrol,manual,2.2,47495.0,1975
7 series,2021,asia,grey,diesel,automatic,4.4,39494.0,5439
7 series,2014,middle east,grey,petrol,automatic,4.7,51627.0,5147
3 series,2015,south america,grey,hybrid,automatic,2.9,71411.0,235
7 series,2019,europe,black,hybrid,manual,2.6,46424.0,8045
7 series,2015,north america,black,hybrid,automatic,4.8,88292.0,3164
i3,2013,asia,blue,hybrid,automatic,3.7,34280.0,7271
i3,2012,asia,silver,electric,automatic,2.8,95183.0,6689
x1,2013,north america,blue,diesel,automatic,4.3,44127.0,9186
x1,2010,north america,black,petrol,automatic,2.6,34880.0,2706
x1,2013,europe,white,petrol,manual,2.1,95656.0,1355
x1,2010,south america,blue,petrol,manual,3.4,91649.0,6465
x6,2021,europe,red,petrol,manual,3.5,55516.0,6115
i3,2024,asia,red,electric,manual,4.4,118841.0,3863
5 series,2010,africa,white,diesel,manual,3.1,98830.0,2258
5 series,2019,africa,white,diesel,automatic,4.4,57249.0,3874
x6,2023,asia,black,electric,automatic,2.6,76115.0,9306
x3,2015,asia,black,hybrid,manual,3.5,77685.0,2588
x1,2014,north america,silver,diesel,automatic,2.2,119081.0,6309
m5,2023,south america,silver,hybrid,manual,2.8,86600.0,5511
5 series,2020,north america,white,diesel,automatic,4.5,110440.0,9545
i8,2024,north america,grey,hybrid,automatic,2.3,106815.0,437
i3,2013,asia,red,diesel,manual,4.3,54115.0,3451
x5,2022,middle east,grey,electric,automatic,2.5,48932.0,4199
5 series,2020,europe,black,petrol,manual,1.6,60530.0,6142
x5,2012,middle east,red,hybrid,manual,1.9,114522.0,6193
m3,2010,asia,red,petrol,manual,4.1,50758.0,2668
x3,2015,north america,white,electric,automatic,2.4,57756.0,1564
m5,2011,middle east,white,hybrid,automatic,3.8,112752.0,2918
m3,2017,asia,blue,electric,manual,3.9,78956.0,3083
3 series,2019,north america,white,diesel,manual,2.7,44337.0,2991
x5,2014,north america,blue,hybrid,automatic,3.2,80260.0,8642
m5,2016,north america,red,hybrid,automatic,2.9,52104.0,4877
x1,2019,europe,grey,hybrid,manual,4.8,82356.0,721
x6,2021,europe,blue,petrol,manual,2.6,50817.0,4788
m3,2011,north america,grey,electric,automatic,2.1,36043.0,4267
5 series,2022,middle east,silver,electric,automatic,2.8,47210.0,2951
x3,2017,south america,grey,electric,automatic,3.8,59598.0,777
x6,2011,north america,blue,diesel,automatic,3.9,35973.0,9174
x6,2013,europe,red,diesel,manual,4.7,68160.0,9729
5 series,2010,south america,grey,petrol,automatic,4.6,103490.0,4771
5 series,2024,asia,black,petrol,automatic,2.5,54502.0,894
m5,2014,europe,black,diesel,automatic,3.1,90015.0,3788
m3,2018,north america,silver,hybrid,manual,4.1,74495.0,1786
m5,2010,europe,red,electric,automatic,4.7,64169.0,335
i3,2018,south america,blue,hybrid,manual,2.7,45933.0,8572
5 series,2020,asia,grey,petrol,automatic,3.1,99486.0,8148
x5,2024,middle east,silver,hybrid,manual,4.6,76064.0,6616
i3,2017,middle east,red,diesel,automatic,2.8,70414.0,2425
5 series,2015,europe,red,diesel,automatic,3.2,76417.0,9696
5 series,2016,asia,grey,diesel,automatic,4.7,90986.0,5451
i8,2012,south america,red,petrol,automatic,4.3,112544.0,8791
7 series,2023,africa,blue,hybrid,automatic,2.4,83315.0,2580
x3,2024,europe,white,petrol,manual,2.6,66906.0,9148
m5,2010,north america,grey,diesel,automatic,2.7,108462.0,638
x1,2014,africa,grey,petrol,manual,4.7,55674.0,879
x3,2023,middle east,silver,petrol,manual,5.0,43018.0,6441
3 series,2021,africa,silver,electric,manual,4.2,94893.0,2227
m5,2021,south america,white,hybrid,automatic,3.2,71212.0,5723
3 series,2011,south america,black,diesel,automatic,1.5,68650.0,5816
7 series,2023,north america,silver,petrol,manual,3.9,33604.0,4547
7 series,2014,asia,white,electric,automatic,2.9,62331.0,863
m5,2017,south america,black,hybrid,automatic,3.7,54503.0,1341
x3,2020,asia,silver,petrol,manual,3.6,77216.0,952
x6,2018,middle east,red,diesel,automatic,3.2,71587.0,329
m3,2011,europe,black,petrol,automatic,4.8,70170.0,1413
3 series,2021,north america,red,petrol,automatic,1.6,83948.0,4597
i3,2012,asia,white,petrol,automatic,4.0,45758.0,6062
i8,2012,north america,blue,diesel,automatic,2.9,97052.0,3452
i3,2010,north america,silver,hybrid,automatic,4.0,115411.0,1488
5 series,2017,africa,white,diesel,manual,3.9,38777.0,6807
x3,2015,north america,grey,hybrid,automatic,1.5,76510.0,4911
x1,2021,south america,grey,petrol,automatic,2.5,49523.0,3788
3 series,2022,asia,silver,diesel,automatic,2.2,35750.0,9081
7 series,2017,europe,grey,diesel,automatic,2.1,91882.0,7571
x1,2020,south america,grey,diesel,automatic,4.0,34971.0,5050
i8,2018,asia,silver,electric,manual,2.3,87790.0,6053
x3,2014,asia,red,petrol,manual,3.2,39423.0,6934
x3,2023,asia,grey,petrol,automatic,2.4,109092.0,6547
3 series,2021,middle east,silver,diesel,manual,3.5,59038.0,8592
m3,2023,middle east,silver,hybrid,automatic,4.0,92328.0,162
i3,2012,europe,blue,petrol,manual,2.7,112224.0,4815
m3,2014,asia,white,electric,automatic,3.6,83734.0,9256
m3,2014,north america,black,hybrid,automatic,4.4,114460.0,4486
m3,2014,africa,blue,diesel,manual,1.8,46480.0,6756
m3,2012,europe,blue,diesel,manual,4.0,114709.0,4596
m5,2020,north america,silver,electric,manual,2.6,106362.0,5113
x6,2023,europe,blue,petrol,manual,1.9,92457.0,8293
m3,2019,africa,white,petrol,manual,3.4,73337.0,7460
m5,2023,south america,white,petrol,manual,2.3,67944.0,1715
i3,2013,asia,grey,hybrid,automatic,4.4,47801.0,4124
i3,2018,asia,black,electric,manual,1.7,99327.0,9861
x1,2022,asia,grey,hybrid,automatic,1.8,112298.0,1551
m3,2019,middle east,red,electric,automatic,3.3,94774.0,7634
i3,2018,north america,black,electric,manual,3.6,55757.0,3242
x5,2011,asia,blue,electric,automatic,4.1,44467.0,6998
3 series,2017,south america,black,hybrid,manual,2.4,71476.0,1750
3 series,2017,asia,blue,hybrid,manual,4.4,40642.0,4910
3 series,2016,south america,red,petrol,manual,4.8,106088.0,8442
x3,2017,africa,white,petrol,automatic,3.2,57380.0,655
m3,2023,south america,white,hybrid,automatic,4.2,104017.0,2736
x1,2012,south america,red,diesel,manual,3.3,42682.0,4785
m5,2022,north america,grey,petrol,automatic,1.7,92326.0,3984
7 series,2015,middle east,grey,diesel,manual,2.6,82036.0,6355
x1,2010,africa,grey,diesel,automatic,1.8,75382.0,9701
x3,2016,south america,black,hybrid,manual,5.0,40698.0,8999
5 series,2024,north america,silver,electric,manual,2.3,117390.0,8994
x3,2024,south america,white,petrol,manual,3.7,48260.0,8620
5 series,2010,south america,grey,diesel,manual,2.5,111234.0,4548
m3,2018,europe,blue,electric,manual,3.8,95676.0,1894
x5,2010,north america,white,petrol,automatic,2.2,109453.0,6119
x3,2010,africa,grey,hybrid,manual,4.2,55462.0,7748
5 series,2024,north america,blue,petrol,manual,1.9,105029.0,1901
i8,2016,europe,silver,hybrid,automatic,4.6,98878.0,8863
i8,2011,south america,grey,hybrid,manual,4.4,72658.0,4334
5 series,2023,south america,black,hybrid,manual,3.9,43905.0,2098
7 series,2014,middle east,black,electric,manual,1.7,101366.0,2951
i3,2017,middle east,white,diesel,manual,2.2,83790.0,4213
3 series,2017,asia,silver,electric,manual,4.5,67954.0,2303
x5,2012,south america,blue,diesel,manual,1.9,118290.0,6508
i8,2016,north america,grey,diesel,automatic,2.0,64972.0,9301
5 series,2012,north america,black,petrol,manual,3.4,97877.0,696
x5,2015,europe,black,hybrid,automatic,2.5,82046.0,1204
m3,2015,south america,blue,electric,automatic,2.3,91253.0,4389
3 series,2012,north america,blue,diesel,manual,3.5,62878.0,1878
i8,2016,south america,white,petrol,automatic,2.8,114879.0,980
i8,2012,north america,grey,hybrid,manual,2.0,73887.0,6254
5 series,2017,middle east,black,hybrid,automatic,3.4,100246.0,122
m5,2019,middle east,blue,petrol,manual,2.9,49771.0,5047
x1,2013,africa,blue,hybrid,automatic,4.1,117861.0,3539
i8,2024,europe,grey,hybrid,manual,1.9,64860.0,7478
x3,2024,europe,black,electric,automatic,3.7,36741.0,6759
m5,2022,south america,grey,petrol,automatic,3.0,77697.0,4150
m3,2010,middle east,black,petrol,automatic,2.9,114739.0,7225
5 series,2013,north america,blue,diesel,manual,2.3,86611.0,5344
m3,2023,asia,black,electric,manual,1.6,59651.0,9583
3 series,2016,asia,white,electric,manual,4.5,53635.0,8390
3 series,2020,africa,silver,petrol,manual,2.6,47546.0,4623
i3,2013,africa,blue,hybrid,manual,3.9,31664.0,5046
5 series,2022,south america,white,hybrid,automatic,4.8,31861.0,3601
i3,2015,south america,grey,hybrid,manual,3.5,32831.0,5317
x3,2018,europe,black,electric,automatic,2.9,96102.0,6796
i8,2010,north america,grey,hybrid,manual,2.4,55780.0,3555
m5,2022,asia,black,electric,manual,4.8,87367.0,4036
x3,2014,asia,grey,petrol,automatic,3.9,52078.0,4163
m3,2020,middle east,white,petrol,manual,3.8,93306.0,7515
m5,2016,middle east,silver,petrol,automatic,3.0,109937.0,5262
i3,2010,africa,silver,electric,automatic,4.5,69171.0,9765
5 series,2023,south america,white,diesel,manual,4.0,51415.0,2407
m3,2013,middle east,white,hybrid,automatic,2.5,72992.0,8821
x6,2015,middle east,grey,hybrid,automatic,3.6,118018.0,3894
x3,2011,middle east,blue,hybrid,manual,3.0,94678.0,7963
3 series,2019,north america,silver,hybrid,automatic,1.5,111544.0,9861
3 series,2014,asia,silver,hybrid,automatic,4.3,30891.0,7630
x6,2020,asia,black,petrol,automatic,1.9,94412.0,576
x3,2019,middle east,grey,diesel,automatic,3.3,95916.0,3453
m5,2010,south america,silver,electric,manual,2.7,78116.0,5478
7 series,2015,north america,blue,diesel,manual,2.7,67607.0,9656
5 series,2015,europe,black,diesel,manual,3.2,66740.0,4232
x1,2022,south america,red,electric,automatic,5.0,86230.0,2842
5 series,2024,asia,silver,electric,manual,2.9,67850.0,5511
m3,2024,north america,silver,petrol,manual,2.1,37211.0,9243
i8,2013,middle east,white,diesel,automatic,3.6,97214.0,3749
m3,2022,north america,grey,electric,manual,2.3,85800.0,8854
3 series,2017,europe,red,petrol,manual,1.9,112410.0,3302
m3,2013,middle east,silver,diesel,manual,1.7,35159.0,6422
x3,2017,middle east,silver,hybrid,automatic,1.6,119882.0,2547
i3,2024,south america,grey,petrol,manual,3.0,74758.0,1796
x6,2022,asia,grey,electric,automatic,3.0,101117.0,8908
7 series,2017,europe,grey,electric,manual,2.1,110780.0,7496
5 series,2014,north america,red,petrol,automatic,4.2,110808.0,8511
m3,2022,middle east,silver,electric,automatic,2.0,66185.0,9632
m3,2024,asia,silver,diesel,automatic,4.7,92952.0,6205
i8,2013,middle east,white,petrol,automatic,3.6,79593.0,4795
7 series,2021,africa,blue,diesel,manual,1.6,49105.0,1179
m3,2022,north america,grey,petrol,automatic,4.9,98166.0,3267
5 series,2011,north america,silver,electric,automatic,2.6,94769.0,7058
m3,2020,europe,blue,petrol,manual,3.1,113277.0,8054
m3,2024,asia,blue,diesel,automatic,2.5,62045.0,7502
7 series,2012,north america,red,diesel,automatic,4.0,101152.0,7461
i3,2012,north america,blue,electric,manual,3.2,108141.0,1416
m3,2013,africa,silver,petrol,manual,2.0,70722.0,7005
i3,2013,africa,blue,electric,automatic,1.9,80447.0,3569
i8,2019,north america,grey,hybrid,manual,4.0,38389.0,5612
x1,2020,africa,silver,diesel,automatic,2.3,117664.0,2550
3 series,2020,europe,black,diesel,manual,2.0,111964.0,4021
x1,2014,north america,grey,hybrid,manual,3.2,118779.0,7182
x3,2013,north america,black,diesel,manual,4.3,55818.0,3727
i3,2020,asia,black,hybrid,manual,2.5,119010.0,8721
i8,2023,africa,white,petrol,automatic,2.5,97474.0,576
3 series,2019,south america,blue,diesel,manual,4.4,33572.0,9911
7 series,2017,middle east,silver,hybrid,manual,2.0,41225.0,4916
x1,2015,asia,silver,hybrid,manual,3.7,73846.0,7394
7 series,2015,europe,blue,hybrid,manual,4.8,50038.0,1673
i3,2017,europe,white,electric,manual,4.4,50630.0,8188
x3,2016,middle east,white,diesel,automatic,1.7,114453.0,8206
5 series,2024,middle east,red,diesel,automatic,2.6,91800.0,9551
x6,2019,europe,white,hybrid,manual,2.0,38069.0,5787
i3,2023,south america,red,petrol,automatic,4.8,97752.0,366
x5,2020,north america,black,hybrid,manual,5.0,60518.0,4813
m5,2021,asia,blue,petrol,manual,2.3,99226.0,6532
i3,2019,asia,grey,hybrid,manual,3.8,43184.0,2325
3 series,2022,south america,blue,hybrid,manual,4.4,72624.0,8766
m3,2017,asia,grey,diesel,manual,2.3,33672.0,1504
x6,2023,europe,white,electric,automatic,2.2,92604.0,3181
x1,2011,south america,black,electric,automatic,1.5,59487.0,541
m3,2018,asia,silver,diesel,manual,2.9,92079.0,274
5 series,2010,middle east,red,petrol,automatic,4.6,63698.0,3176
i3,2024,north america,red,hybrid,automatic,4.7,59130.0,3757
x6,2017,europe,red,electric,manual,1.9,54240.0,7305
7 series,2021,africa,silver,diesel,manual,2.2,30085.0,8935
x3,2020,middle east,grey,hybrid,manual,2.9,85570.0,9460
x5,2021,asia,grey,hybrid,manual,4.2,111764.0,6336
5 series,2021,africa,silver,electric,automatic,3.6,57907.0,9284
3 series,2013,north america,blue,hybrid,automatic,3.3,94689.0,1311
m5,2013,south america,blue,diesel,manual,3.6,78311.0,6141
x1,2014,south america,red,electric,manual,1.8,48008.0,6104
5 series,2017,south america,white,petrol,automatic,3.2,118807.0,7523
7 series,2014,africa,white,electric,manual,5.0,35125.0,4433
3 series,2017,europe,black,diesel,manual,1.8,57514.0,785
7 series,2024,south america,blue,electric,manual,3.3,100011.0,8193
x1,2019,asia,silver,hybrid,manual,2.5,115978.0,4200
x1,2010,asia,grey,hybrid,automatic,3.4,35492.0,1580
x1,2021,asia,red,hybrid,manual,3.5,84529.0,6643
i3,2024,asia,red,hybrid,manual,3.5,114654.0,1803
5 series,2019,asia,grey,hybrid,manual,4.5,93178.0,6217
m3,2018,south america,grey,hybrid,manual,2.9,63381.0,1145
x5,2015,europe,grey,electric,automatic,3.3,34809.0,6000
m3,2012,africa,red,petrol,manual,1.5,108417.0,2123
x5,2022,south america,white,hybrid,automatic,4.3,55723.0,5093
x3,2023,middle east,grey,petrol,manual,2.4,72924.0,1951
x1,2017,europe,black,diesel,manual,4.4,50047.0,4152
5 series,2018,north america,blue,petrol,automatic,2.4,56066.0,9354
x1,2015,europe,black,hybrid,automatic,1.5,88974.0,6746
5 series,2020,south america,grey,electric,automatic,2.0,64553.0,4760
m5,2016,africa,white,petrol,automatic,4.9,50304.0,1750
x6,2010,south america,red,diesel,automatic,2.6,54215.0,5854
3 series,2023,europe,silver,electric,manual,1.9,70456.0,7797
x1,2014,africa,blue,petrol,manual,1.9,119783.0,648
5 series,2014,middle east,white,electric,automatic,2.6,98781.0,7754
x1,2019,europe,red,petrol,manual,1.6,96389.0,1299
i8,2023,africa,white,petrol,automatic,3.3,92621.0,6973
5 series,2013,africa,white,petrol,automatic,2.2,108524.0,5204
x6,2015,europe,silver,diesel,manual,3.3,64310.0,7725
i3,2016,south america,grey,hybrid,automatic,2.0,56254.0,3675
i8,2018,asia,black,diesel,manual,3.0,97476.0,7652
5 series,2010,africa,white,diesel,manual,3.6,73328.0,284
x1,2024,africa,red,petrol,manual,1.7,88698.0,5292
m3,2015,north america,grey,petrol,manual,2.9,51228.0,5790
i3,2016,asia,grey,petrol,manual,2.6,65343.0,6280
7 series,2012,north america,grey,petrol,manual,2.3,83665.0,4721
7 series,2017,asia,red,diesel,manual,3.6,98559.0,8896
x1,2024,north america,grey,electric,automatic,3.6,67578.0,2661
3 series,2014,asia,red,diesel,automatic,3.7,117304.0,6502
7 series,2024,africa,blue,petrol,automatic,2.1,116147.0,6421
3 series,2018,europe,white,petrol,automatic,2.5,94827.0,2430
m3,2014,south america,black,petrol,automatic,2.2,95813.0,1672
i8,2018,middle east,black,petrol,automatic,3.4,54069.0,8000
i3,2019,north america,grey,diesel,manual,3.1,46395.0,2256
m5,2013,south america,grey,diesel,manual,2.7,80935.0,8659
3 series,2018,north america,red,diesel,manual,4.3,87568.0,5348
3 series,2014,europe,white,diesel,automatic,1.8,53415.0,9870
x3,2019,north america,silver,petrol,automatic,4.9,43695.0,4991
i8,2018,middle east,silver,diesel,manual,1.9,81393.0,7854
7 series,2012,north america,silver,diesel,manual,4.2,65307.0,7418
5 series,2024,north america,blue,hybrid,automatic,2.8,76633.0,9665
i8,2013,south america,white,petrol,manual,4.5,45364.0,2834
i3,2018,europe,white,hybrid,manual,1.8,119630.0,7963
7 series,2019,north america,silver,hybrid,manual,2.8,118316.0,2865
i8,2020,south america,blue,electric,manual,2.7,114207.0,7761
x3,2015,middle east,silver,diesel,automatic,5.0,56637.0,9674
x5,2011,north america,black,petrol,automatic,4.9,66403.0,6690
x1,2016,europe,silver,electric,manual,2.2,76980.0,9507
i3,2011,north america,black,electric,automatic,3.7,106565.0,7134
5 series,2020,africa,white,electric,automatic,3.4,93259.0,4218
i8,2011,asia,silver,electric,automatic,2.0,102434.0,8137
i8,2020,south america,black,electric,automatic,2.1,63212.0,9007
x3,2010,africa,red,diesel,manual,5.0,37003.0,7439
x6,2020,asia,black,electric,automatic,3.1,106482.0,543
i3,2020,middle east,grey,electric,automatic,1.9,42661.0,4350
